state,county,repub_percent_08,repub_percent_12
Alabama,Hale,38.95787679571463,37.13988198542173
Arkansas,Nevada,56.72627235213204,58.98345153664303
California,Lake,38.896719129277265,39.33136676499508
California,Ventura,42.923190111830486,45.250692715628766
Colorado,Lincoln,74.52256944444444,73.76475732400525
Florida,Bay,69.86946392692938,71.21874256520705
Florida,Calhoun,69.58680333119796,70.96879063719116
Florida,Citrus,57.388586885159796,60.40711435720565
Georgia,Columbia,71.04117360119962,70.88064083634575
Georgia,Johnson,66.52042774883465,64.68716861081654
Georgia,Screven,52.81592346860052,53.885245901639344
Georgia,Walker,72.67861693993713,74.20076726342711
Georgia,White,78.68227859864325,82.48474446987034
Idaho,Clearwater,65.77060931899642,68.75
Idaho,Gem,70.27809236189756,70.90787716955941
Idaho,Shoshone,52.11789622308507,52.428127428127425
Illinois,Greene,52.57447907697607,61.38384916399857
Illinois,Menard,56.806930693069305,64.18468541700535
Illinois,Perry,50.88544272136068,57.6709603099801
Illinois,St. Clair,38.13939432497773,41.957544405939764
Indiana,Decatur,61.489321128909225,69.0628637951106
Indiana,LaGrange,60.07796860183332,66.8849291541434
Indiana,Washington,57.66475011057054,60.845673838129834
Iowa,Appanoose,49.96761658031088,50.616493194555645
Iowa,Osceola,64.82251359130157,69.81840951784596
Iowa,Pocahontas,53.30341560708053,59.42460317460318
Iowa,Polk,41.8254923362533,41.984952945185725
Iowa,Worth,37.86704251820531,41.80249280920422
Kansas,Elk,72.66387726638771,76.62527392257122
Kansas,Neosho,62.19410456062291,65.92592592592592
Kansas,Pratt,67.3508353221957,72.90186792949224
Kansas,Rawlins,80.50355067785668,84.69529085872576
Kentucky,Jessamine,67.82922726822994,68.98172829932632
Kentucky,Powell,57.05953338696702,61.727293014952025
Kentucky,Taylor,69.68692449355433,68.95890410958904
Louisiana,Assumption,54.57116788321168,55.34024745269287
Louisiana,Lincoln,55.749347258485635,56.54188385194545
Louisiana,St. Tammany,75.8399313260824,75.04118616144976
Maine,Androscoggin,41.332725615314494,42.056675873027885
Michigan,Cheboygan,49.780591324365155,54.7366839456089
Mississippi,Calhoun,63.71416345742404,62.4221844934918
Mississippi,Choctaw,63.922046285018276,65.80856541071847
Mississippi,Coahoma,27.64666856222159,25.708597971371695
Mississippi,Jackson,66.57603166675915,66.62380020501352
Missouri,Iron,47.34934299954689,55.86703051352022
Missouri,Montgomery,58.53825136612022,65.51529941805894
Missouri,Oregon,57.765192768460025,65.27934856367338
Missouri,Putnam,68.02052159042326,72.45560848852317
Montana,Meagher,64.59627329192547,68.93004115226337
Montana,Powell,57.244897959183675,65.05763688760807
Montana,Treasure,64.60905349794238,70.1098901098901
Nevada,Lincoln,71.09634551495017,78.57806691449815
New Mexico,Dona Ana,40.51385681293303,41.133342366349005
New Mexico,Eddy,62.21072015129647,65.30178006123826
New Mexico,Sandoval,42.96946955483541,45.09513859353908
New Mexico,San Juan,59.919158908645265,62.393753920020764
New Mexico,Torrance,53.810690102290735,55.12339893783192
New York,Delaware,51.61606748737064,48.749865865436206
North Carolina,Cleveland,59.49127409604198,59.513151822796495
North Carolina,Guilford,40.41758523561552,41.27956447063643
North Carolina,Martin,47.50019934614465,47.383812835915265
North Dakota,Griggs,51.90258751902588,57.40878629932986
North Dakota,McHenry,56.87086092715232,61.87315634218289
Ohio,Jackson,58.736511112699205,59.06882893655183
Ohio,Noble,55.89760207388205,60.677792915531334
Oregon,Josephine,54.63387952151062,58.83244694070282
Pennsylvania,Clarion,60.439065578384465,66.89731867045595
Rhode Island,Kent,40.17889002545377,39.99721247291664
South Carolina,Bamberg,33.88611681831523,31.88026736413833
South Carolina,York,58.166837431693985,59.42121544756013
South Dakota,Bon Homme,54.942233632862646,59.53155497722836
South Dakota,Dewey,32.86783042394015,34.9868073878628
Tennessee,Chester,71.01718532280539,73.07332293291732
Tennessee,Hamblen,68.41060479068332,72.49400958466452
Tennessee,Weakley,64.68224981738496,69.74953392234741
Texas,Glasscock,90.12567324955117,91.00346020761245
Texas,Grayson,68.465378103217,73.19704713231118
Texas,Kleberg,45.970028351559336,45.559672167957785
Texas,Lampasas,74.02410269845429,78.02609661299277
Texas,Real,76.04422604422605,80.52117263843648
Texas,Red River,68.50752177355503,69.94481671265274
Texas,Schleicher,74.38650306748467,77.38446411012782
Texas,Taylor,72.33921457029027,76.05575202829208
Texas,Terrell,62.23506743737958,64.5045045045045
Texas,Walker,60.70719732581218,64.97190259566497
Utah,Sevier,79.85512676408143,89.3171396703433
Utah,Tooele,63.43658072330853,74.07715071906962
Virginia,Highland,59.84555984555985,65.39278131634819
Virginia,New Kent,63.90751676508858,66.15539121701816
Virginia,Harrisonburg,41.21294718909711,42.10222535753223
Washington,San Juan,28.088500617225336,29.365678686048707
West Virginia,Braxton,48.60417822148271,56.723563696919236
West Virginia,Clay,53.751914241960186,65.43824701195219
West Virginia,Morgan,60.85761407366685,64.068710959682
West Virginia,Webster,45.338567222767416,62.06896551724138
Wisconsin,Burnett,48.34254143646409,52.437478391149014
Wisconsin,La Crosse,37.49090448922775,40.57703822760077
Wisconsin,Lafayette,38.104967437108925,41.67505030181087
Wyoming,Weston,76.68424135910955,83.98332837153914
Alaska,District 34,77.06325932132384,40.78962602755586
